solution,guesses,feedback
stoas,"['trams', 'altos', 'stoas']","[['present', 'absent', 'present', 'absent', 'correct'], ['present', 'absent', 'present', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
lints,"['holey', 'burls', 'lists', 'clams', 'slams', 'flaks']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct']]"
peons,"['waxes', 'beeps', 'epics', 'debts', 'users', 'plebs']","[['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'correct', 'absent', 'present', 'correct'], ['present', 'present', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'correct'], ['correct', 'absent', 'present', 'absent', 'correct']]"
cover,"['rated', 'mover', 'hover', 'lover', 'cover']","[['present', 'absent', 'absent', 'correct', 'absent'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
brood,"['evoke', 'floss', 'troth', 'irony', 'droop', 'brood']","[['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent'], ['present', 'correct', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
scans,"['fined', 'groan', 'yawns', 'khans', 'tuans', 'clans']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'present'], ['absent', 'present', 'absent', 'correct', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['present', 'absent', 'correct', 'correct', 'correct']]"
wheys,"['wives', 'weans', 'whets', 'wheys']","[['correct', 'absent', 'absent', 'present', 'correct'], ['correct', 'present', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
sweep,"['turns', 'mashy', 'sexed', 'spiel', 'sweep']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'absent'], ['correct', 'present', 'absent', 'correct', 'absent'], ['correct', 'present', 'absent', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
naval,"['plumb', 'kilos', 'wryly', 'gavel', 'naval']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
adman,"['flaky', 'tater', 'adios', 'adman']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
okays,"['epics', 'roots', 'rusks', 'snugs', 'tuans', 'hobos']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct']]"
dices,"['clown', 'march', 'ducts', 'decks', 'dices']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['correct', 'absent', 'correct', 'absent', 'correct'], ['correct', 'present', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
gates,"['felon', 'saute', 'takes', 'rates', 'gates']","[['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'correct', 'absent', 'present', 'present'], ['present', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
juicy,"['axons', 'idyll', 'fifty', 'juicy']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
thanx,"['cowry', 'beams', 'gland', 'thanx']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
sniff,"['ruses', 'outer', 'hulls', 'grapy', 'bawdy', 'whizz']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent']]"
heals,"['riots', 'damps', 'weals', 'veals', 'heals']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cheek,"['decks', 'aleck', 'cheek']","[['absent', 'present', 'present', 'present', 'absent'], ['absent', 'absent', 'correct', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
peter,"['braze', 'suers', 'mired', 'coyer', 'enter', 'peter']","[['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['present', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
tours,"['withs', 'boots', 'teams', 'goats', 'facts', 'tests']","[['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'correct', 'absent', 'present', 'correct'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'present', 'correct'], ['absent', 'absent', 'absent', 'present', 'correct'], ['correct', 'absent', 'absent', 'absent', 'correct']]"
rumen,"['crook', 'tamer', 'rimes', 'rumen']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'correct', 'present'], ['correct', 'absent', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
aleck,"['kooky', 'outer', 'furze', 'shoji', 'bawdy', 'roble']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'present']]"
foams,"['wheel', 'gator', 'cocas', 'soaps', 'soaks', 'moans']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'present', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['present', 'correct', 'correct', 'absent', 'correct']]"
timid,"['ender', 'discs', 'vivid', 'lipid', 'timid']","[['absent', 'absent', 'present', 'absent', 'absent'], ['present', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
intro,"['cairn', 'nitro', 'intro']","[['absent', 'absent', 'present', 'correct', 'present'], ['present', 'present', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
roman,"['brans', 'ranch', 'roman']","[['absent', 'present', 'present', 'present', 'absent'], ['correct', 'present', 'present', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
aargh,"['coeds', 'unarm', 'aargh']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cushy,"['domed', 'laugh', 'huffy', 'bushy', 'cushy']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'present'], ['present', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
duchy,"['zones', 'plumy', 'fudgy', 'curdy', 'ducky', 'duchy']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'correct', 'present', 'absent', 'correct'], ['present', 'correct', 'absent', 'present', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
solon,"['barms', 'disco', 'owest', 'snoop', 'solon']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'present'], ['present', 'absent', 'absent', 'present', 'absent'], ['correct', 'present', 'present', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
imbed,"['calyx', 'outer', 'hewed', 'shies', 'nisei', 'wised']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'present', 'correct', 'absent'], ['absent', 'present', 'absent', 'correct', 'absent'], ['absent', 'present', 'absent', 'correct', 'correct']]"
loess,"['geeks', 'damps', 'frown', 'playa', 'filer', 'pares']","[['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'absent', 'absent', 'present', 'correct']]"
oinks,"['scion', 'irons', 'oinks']","[['present', 'absent', 'present', 'present', 'present'], ['present', 'absent', 'present', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
zooms,"['perch', 'unjam', 'bombs', 'moots', 'zooms']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'correct', 'present', 'absent', 'correct'], ['present', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
nones,"['balmy', 'hikes', 'roses', 'coves', 'votes', 'nones']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
roots,"['podgy', 'bonus', 'jolts', 'soots', 'toots', 'coots']","[['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct']]"
brake,"['blued', 'biome', 'breve', 'brave', 'baste', 'brake']","[['correct', 'absent', 'absent', 'present', 'absent'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'present', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
grift,"['reeks', 'brown', 'dryad', 'truth', 'grift']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['present', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
bocce,"['barms', 'bowie', 'booze', 'boule', 'bodge', 'bonne']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct']]"
rites,"['leers', 'damps', 'frown', 'sways', 'bawdy', 'harps']","[['absent', 'present', 'absent', 'present', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'correct']]"
sagas,"['smoky', 'sexes', 'stabs', 'sagas']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['correct', 'absent', 'present', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
mewed,"['fungi', 'sorer', 'caped', 'bleed', 'dewed', 'keyed']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'present', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct']]"
taker,"['frats', 'karat', 'tamer', 'eater', 'gator', 'abort']","[['absent', 'present', 'present', 'present', 'absent'], ['present', 'correct', 'present', 'absent', 'present'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'present', 'correct', 'correct'], ['absent', 'correct', 'present', 'absent', 'correct'], ['present', 'absent', 'absent', 'present', 'present']]"
gowns,"['bulgy', 'raged', 'piing', 'goons', 'gowns']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'present'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
gowns,"['jinks', 'burns', 'plans', 'hymns', 'gowns']","[['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
bubba,"['xylem', 'sprit', 'condo', 'ahhhh', 'guava', 'bubba']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
means,"['dosed', 'abuse', 'sepal', 'tears', 'means']","[['absent', 'absent', 'present', 'present', 'absent'], ['present', 'absent', 'absent', 'present', 'present'], ['present', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
spear,"['jingo', 'deuce', 'rummy', 'playa', 'bawdy', 'peeps']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'correct', 'absent', 'present']]"
spank,"['wages', 'sulfa', 'stain', 'snack', 'spank']","[['absent', 'present', 'absent', 'absent', 'present'], ['correct', 'absent', 'absent', 'absent', 'present'], ['correct', 'absent', 'correct', 'absent', 'present'], ['correct', 'present', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
bushy,"['exeat', 'frown', 'lulus', 'dummy', 'bulks', 'click']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'present'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
dills,"['liers', 'silks', 'dills']","[['present', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
amply,"['yield', 'sonly', 'bally', 'gully', 'pally', 'apply']","[['present', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'present', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['present', 'present', 'absent', 'correct', 'correct'], ['correct', 'absent', 'correct', 'correct', 'correct']]"
papal,"['aught', 'playa', 'paler', 'pawls', 'papal']","[['present', 'absent', 'absent', 'absent', 'absent'], ['correct', 'present', 'present', 'absent', 'present'], ['correct', 'correct', 'present', 'absent', 'absent'], ['correct', 'correct', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
sonar,"['egger', 'flour', 'donor', 'armor', 'ichor', 'actor']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['present', 'absent', 'absent', 'present', 'correct'], ['absent', 'absent', 'absent', 'present', 'correct'], ['present', 'absent', 'absent', 'present', 'correct']]"
aisle,"['deist', 'lines', 'aisle']","[['absent', 'present', 'present', 'present', 'absent'], ['present', 'correct', 'absent', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
razed,"['borax', 'share', 'raper', 'taker', 'water', 'raped']","[['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'absent', 'present', 'present', 'present'], ['correct', 'correct', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'present'], ['absent', 'correct', 'absent', 'correct', 'present'], ['correct', 'correct', 'absent', 'correct', 'correct']]"
indie,"['wimpy', 'doxie', 'indie']","[['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
echos,"['negro', 'youse', 'ethos', 'echos']","[['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'present', 'absent', 'present', 'present'], ['correct', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
slunk,"['lurer', 'mould', 'slugs', 'flush', 'klutz', 'fluky']","[['present', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'present', 'absent'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'present', 'absent'], ['present', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'present', 'absent']]"
mange,"['atone', 'range', 'mange']","[['present', 'absent', 'absent', 'present', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
skirt,"['wrath', 'ester', 'strip', 'skirt']","[['absent', 'present', 'absent', 'present', 'absent'], ['absent', 'present', 'present', 'absent', 'present'], ['correct', 'present', 'present', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
banns,"['jambs', 'tabus', 'bawls', 'bares', 'bangs', 'bands']","[['absent', 'correct', 'absent', 'present', 'correct'], ['absent', 'correct', 'present', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct']]"
apers,"['sunny', 'bikes', 'meals', 'areas', 'rheas', 'apers']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'present', 'present', 'absent', 'correct'], ['correct', 'present', 'correct', 'absent', 'correct'], ['present', 'absent', 'correct', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
turps,"['purls', 'turps']","[['present', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
trial,"['fairs', 'trial']","[['absent', 'present', 'correct', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
herbs,"['woofs', 'calms', 'sties', 'evens', 'tutus', 'epees']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'present', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct']]"
hound,"['molts', 'donee', 'hound']","[['absent', 'correct', 'absent', 'absent', 'absent'], ['present', 'correct', 'present', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
crone,"['hoses', 'abode', 'ozone', 'crone']","[['absent', 'present', 'absent', 'present', 'absent'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
texas,"['dummy', 'frown', 'tacit', 'attic', 'least', 'babes']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'absent'], ['present', 'present', 'absent', 'absent', 'absent'], ['absent', 'correct', 'present', 'present', 'present'], ['absent', 'present', 'absent', 'present', 'correct']]"
tsars,"['bonne', 'playa', 'schwa', 'spiky', 'tapis', 'chard']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'present'], ['present', 'absent', 'absent', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'correct'], ['absent', 'absent', 'correct', 'correct', 'absent']]"
spiff,"['fiche', 'skiff', 'sniff', 'spiff']","[['present', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'correct', 'correct', 'correct'], ['correct', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
snide,"['mover', 'weeks', 'cleat', 'helix', 'pecks', 'sleds']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['correct', 'absent', 'present', 'correct', 'absent']]"
ureas,"['array', 'playa', 'spoof', 'broth', 'quint', 'spate']","[['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'present']]"
rubes,"['crook', 'merry', 'reify', 'liter', 'mirth', 'right']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'present'], ['absent', 'absent', 'present', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent']]"
based,"['hoagy', 'asked', 'sated', 'cased', 'based']","[['absent', 'absent', 'present', 'absent', 'absent'], ['present', 'present', 'absent', 'correct', 'correct'], ['present', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
